"timestamp","emoji","count"
"2022-04-08T16:12:35.154000+00:00","😂","1"
"2022-04-08T16:08:48.869000+00:00","😂","1"
"2022-04-01T17:39:07.994000+00:00","😂","2"
"2022-04-01T15:56:40.239000+00:00","😂","2"
"2022-04-01T15:28:05.514000+00:00","😂","5"
"2022-04-01T15:13:42.047000+00:00","😂","1"
"2022-04-01T14:43:56.119000+00:00","😂","1"
"2022-04-01T14:00:50.812000+00:00","😂","1"
"2022-03-21T22:44:39.242000+00:00","🤣","1"
"2022-03-17T21:02:37.048000+00:00","😂","2"
"2022-03-15T18:16:34.542000+00:00","🤣","1"
"2022-03-14T14:16:38.433000+00:00","😂","2"
"2022-03-07T04:38:15.244000+00:00","🤣","4"
"2022-03-06T19:32:47.454000+00:00","🤣","1"
"2022-02-27T19:21:29.017000+00:00","😂","2"
"2022-02-25T23:32:15.643000+00:00","🤣","2"
"2022-02-23T21:37:54.048000+00:00","🤣","1"
"2022-02-22T22:42:51.723000+00:00","🤣","5"
"2022-02-22T20:11:34.672000+00:00","🤣","2"
"2022-02-22T20:11:26.453000+00:00","🤣","3"
"2022-02-21T21:56:29.882000+00:00","😂","2"
"2022-02-19T04:54:41.927000+00:00","🤣","1"
"2022-02-16T23:04:24.033000+00:00","😂","1"
"2022-02-04T23:05:43.282000+00:00","🤣","3"
"2022-02-04T23:03:11.872000+00:00","😂","1"
"2022-01-31T20:40:14.471000+00:00","🤣","3"
"2022-01-30T03:41:58.802000+00:00","🤣","2"
"2022-01-30T01:25:54.765000+00:00","🤣","1"
"2022-01-19T01:01:09.731000+00:00","🤣","2"
"2022-01-19T00:31:47.187000+00:00","🤣","1"
"2022-01-14T18:28:53.167000+00:00","😂","1"
"2022-01-14T18:18:45.982000+00:00","😂","1"
"2022-01-13T20:37:21.117000+00:00","😂","6"
"2022-01-13T20:02:32.228000+00:00","🤣","2"
"2022-01-13T18:09:14.071000+00:00","😂","1"
"2022-01-10T18:20:48.390000+00:00","🤣","3"
"2022-01-04T00:34:29.053000+00:00","🤣","1"
"2021-12-10T15:09:44.615000+00:00","🤣","2"
"2021-12-08T20:41:33.119000+00:00","🤣","3"
"2021-12-08T16:35:45.847000+00:00","🤣","2"
"2021-12-08T15:48:01.445000+00:00","🤣","1"
"2021-12-07T18:52:26+00:00","😂","4"
"2021-12-01T21:28:37.727000+00:00","🤣","1"
"2021-12-01T20:51:52.884000+00:00","🤣","1"
"2021-12-01T20:24:54.597000+00:00","😂","3"
"2021-11-29T19:56:58.913000+00:00","🤣","1"
"2021-11-29T18:31:06.641000+00:00","🤣","1"
"2021-11-29T17:38:12.638000+00:00","🤣","1"
"2021-11-29T14:16:13.077000+00:00","😂","3"
"2021-11-24T15:58:59.548000+00:00","🤣","1"
"2021-11-24T14:48:12.203000+00:00","😂","1"
"2021-11-24T14:36:54.295000+00:00","🤣","1"
"2021-11-16T19:02:41.419000+00:00","😂","2"
"2021-11-16T19:00:43.409000+00:00","🤣","1"
"2021-11-16T18:55:30.201000+00:00","🤣","1"
"2021-11-16T18:52:43.208000+00:00","🤣","1"
"2021-11-16T18:48:50.232000+00:00","🤣","1"
"2021-11-16T17:30:37.433000+00:00","🤣","2"
"2021-11-16T17:29:26.934000+00:00","🤣","1"
"2021-11-15T22:06:34.424000+00:00","🤣","2"
"2021-11-15T17:43:34.358000+00:00","🤣","1"
"2021-11-08T20:58:28.528000+00:00","🤣","1"
"2021-11-04T15:47:00.043000+00:00","😂","2"
"2021-11-03T18:18:38.824000+00:00","🤣","1"
"2021-11-03T18:18:01.015000+00:00","🤣","1"
"2021-11-03T17:54:33.102000+00:00","😂","2"
"2021-11-03T14:55:09.756000+00:00","🤣","2"
"2021-11-02T18:49:07.059000+00:00","🤣","1"
"2021-11-02T16:11:58.371000+00:00","😂","5"
"2021-11-02T16:08:49.950000+00:00","🤣","3"
"2021-11-01T22:14:05.282000+00:00","😂","5"
"2021-11-01T13:45:44.749000+00:00","😂","4"
"2021-10-29T21:40:21.946000+00:00","😂","3"
"2021-10-25T16:17:17.298000+00:00","🤣","1"
"2021-10-25T14:06:03.471000+00:00","😂","2"
"2021-10-21T15:11:01.535000+00:00","🤣","1"
"2021-10-20T21:46:22.543000+00:00","🤣","2"
"2021-10-20T21:06:13.387000+00:00","🤣","1"
"2021-10-20T16:08:16.787000+00:00","🤣","1"
"2021-10-20T14:21:21.694000+00:00","😂","1"
"2021-10-20T14:18:58.387000+00:00","😂","1"
"2021-10-20T14:06:43.721000+00:00","😂","2"
"2021-10-19T20:29:30.243000+00:00","🤣","1"
"2021-10-19T20:01:57.333000+00:00","🤣","1"
"2021-10-19T19:59:33.135000+00:00","🤣","1"
"2021-10-19T19:37:51.110000+00:00","🤣","1"
"2021-10-19T19:34:16.590000+00:00","🤣","1"
"2021-10-19T17:51:39.245000+00:00","😂","3"
"2021-10-19T17:42:24.231000+00:00","🤣","1"
"2021-10-19T16:08:16.266000+00:00","🤣","1"
"2021-10-19T15:45:32.560000+00:00","😂","2"
"2021-10-19T15:25:28.709000+00:00","🤣","1"
"2021-10-19T15:25:15.310000+00:00","🤣","1"
"2021-10-18T14:25:34.555000+00:00","🤣","1"
"2021-10-15T14:31:53.357000+00:00","🤣","1"
"2021-10-15T14:29:06.186000+00:00","😂","3"
"2021-10-15T14:28:56.010000+00:00","😂","2"
"2021-10-14T22:00:55.919000+00:00","🤣","1"
"2021-10-14T18:19:41.736000+00:00","🤣","1"
"2021-10-14T14:32:23.982000+00:00","🤣","4"
"2021-10-13T15:37:12.236000+00:00","😂","1"
"2021-10-13T14:26:15.907000+00:00","🤣","1"
"2021-10-13T14:17:17.917000+00:00","🤣","1"
"2021-10-12T19:17:41.547000+00:00","🤣","1"
"2021-10-12T19:06:32.336000+00:00","🤣","1"
"2021-10-12T14:23:01.952000+00:00","😂","4"
"2021-10-11T20:08:09.397000+00:00","😂","1"
"2021-10-11T20:05:16.703000+00:00","😂","1"
"2021-10-11T19:57:48.838000+00:00","😂","2"
"2021-10-11T19:57:38.455000+00:00","😂","4"
"2021-10-11T16:38:35.978000+00:00","🤣","2"
"2021-10-11T16:13:30.951000+00:00","😂","1"
"2021-10-11T15:35:14.460000+00:00","😂","1"
"2021-10-10T02:18:29.690000+00:00","🤣","4"
"2021-10-09T05:30:43.639000+00:00","😂","4"
"2021-10-08T16:32:06.309000+00:00","😂","1"
"2021-10-01T13:50:04.936000+00:00","😂","2"
"2021-10-01T00:14:00.899000+00:00","🤣","1"
"2021-09-30T15:18:37.270000+00:00","😂","1"
"2021-09-29T22:01:30.593000+00:00","😂","1"
"2021-09-27T20:16:07.541000+00:00","😂","3"
"2021-09-27T19:33:10.308000+00:00","🤣","1"
"2021-09-23T16:13:05.902000+00:00","😂","3"
"2021-09-21T17:35:16.622000+00:00","🤣","3"
"2021-09-21T17:05:04.295000+00:00","🤣","3"
"2021-09-08T16:22:54.951000+00:00","🤣","1"
"2021-09-03T13:30:14.183000+00:00","🤣","1"
"2021-09-03T05:01:39.629000+00:00","😂","1"
"2021-09-02T22:07:12.148000+00:00","😂","5"
"2021-08-31T15:22:02.011000+00:00","🤣","1"
"2021-08-24T19:23:36.106000+00:00","🤣","1"
"2021-08-16T13:34:57.405000+00:00","😂","1"
"2021-08-13T21:40:14.428000+00:00","🤣","1"
"2021-08-13T19:54:09.991000+00:00","🤣","2"
"2021-08-13T15:15:00.625000+00:00","🤣","1"
"2021-08-02T21:48:46.597000+00:00","🤣","1"
"2021-07-26T20:10:13.612000+00:00","😂","1"
"2022-11-10T02:36:11.685000+00:00","🤣","1"
"2022-10-26T17:18:31.339000+00:00","🤣","1"
"2022-10-13T15:30:07.051000+00:00","😂","2"
"2022-10-12T20:00:52.553000+00:00","😂","1"
"2022-10-12T18:37:36.047000+00:00","😂","1"
"2022-10-11T20:07:42.910000+00:00","🤣","4"
"2022-10-10T21:33:58.079000+00:00","😂","1"
"2022-10-10T21:02:05.137000+00:00","😂","1"
"2022-10-06T20:36:17.700000+00:00","😂","3"
"2022-10-04T22:07:51.539000+00:00","🤣","6"
"2022-10-04T14:43:31.788000+00:00","🤣","1"
"2022-10-03T19:47:09.522000+00:00","🤣","2"
"2022-10-03T19:35:39.948000+00:00","🤣","1"
"2022-09-30T20:42:52.607000+00:00","🤣","1"
"2022-09-29T20:44:30.346000+00:00","🤣","4"
"2022-09-20T20:25:05.694000+00:00","🤣","1"
"2022-09-20T20:11:28.998000+00:00","🤣","3"
"2022-09-19T17:29:21.855000+00:00","🤣","1"
"2022-09-19T15:33:01.250000+00:00","😂","2"
"2022-09-16T01:36:09.440000+00:00","😂","2"
"2022-09-09T23:12:54.253000+00:00","😂","1"
"2022-09-09T14:51:48.851000+00:00","🤣","1"
"2022-09-07T15:48:39.439000+00:00","😂","1"
"2022-09-07T15:16:48.116000+00:00","😂","2"
"2022-09-07T14:45:48.275000+00:00","😂","2"
"2022-09-07T14:40:35.229000+00:00","😂","2"
"2022-09-07T14:04:53.418000+00:00","😂","1"
"2022-08-31T20:22:46.054000+00:00","😂","4"
"2022-08-29T15:41:45.488000+00:00","🤣","2"
"2022-08-27T20:51:52.843000+00:00","😂","3"
"2022-08-26T13:39:02.740000+00:00","🤣","8"
"2022-08-25T15:05:20.853000+00:00","🤣","1"
"2022-08-25T15:03:39.126000+00:00","🤣","3"
"2022-08-25T14:50:55.395000+00:00","😂","2"
"2022-08-19T17:37:34.709000+00:00","🤣","2"
"2022-08-17T15:17:06.374000+00:00","🤣","5"
"2022-08-17T01:52:47.424000+00:00","😂","1"
"2022-08-16T18:44:30.191000+00:00","😂","1"
"2022-08-05T22:07:59.569000+00:00","🤣","2"
"2022-07-27T16:29:49.603000+00:00","🤣","4"
"2022-07-21T16:06:52.441000+00:00","🤣","1"
"2022-07-18T20:04:51.502000+00:00","🤣","1"
"2022-07-18T19:07:26.364000+00:00","🤣","1"
"2022-07-08T13:43:44.762000+00:00","🤣","3"
"2022-07-06T19:54:00.351000+00:00","😂","1"
"2022-07-06T19:49:16.668000+00:00","😂","1"
"2022-07-06T18:55:41.627000+00:00","🤣","1"
"2022-07-02T17:50:24.572000+00:00","😂","6"
"2022-07-01T19:37:44.652000+00:00","🤣","2"
"2022-06-29T19:26:56.994000+00:00","🤣","3"
"2022-06-22T22:08:53.714000+00:00","😂","1"
"2022-06-22T17:43:01.273000+00:00","🤣","2"
"2022-06-20T20:58:27.523000+00:00","🤣","3"
"2022-06-20T18:55:43.817000+00:00","😂","1"
"2022-06-20T18:54:14.917000+00:00","🤣","5"
"2022-06-14T17:35:57.544000+00:00","😂","1"
"2022-06-10T21:38:32.021000+00:00","🤣","2"
"2022-06-10T18:32:56.201000+00:00","😂","1"
"2022-06-10T17:40:54.729000+00:00","🤣","1"
"2022-06-08T18:15:29.029000+00:00","🤣","2"
"2022-06-04T01:36:45.624000+00:00","🤣","3"
"2022-06-02T18:05:42.252000+00:00","🤣","1"
"2022-06-02T16:04:19.088000+00:00","🤣","3"
"2022-06-01T20:54:38.912000+00:00","😂","2"
"2022-05-27T22:05:12.024000+00:00","😂","2"
"2022-05-27T21:55:06.772000+00:00","😂","2"
"2022-05-27T19:44:27.889000+00:00","😂","1"
"2022-05-27T11:53:46.190000+00:00","😂","1"
"2022-05-26T15:22:36.816000+00:00","😂","1"
"2022-05-21T22:50:04.467000+00:00","😂","3"
"2022-05-20T21:24:52.130000+00:00","🤣","3"
"2022-05-20T20:22:35.795000+00:00","😂","3"
